(Deal ID),(Products),(Industry),(Category),(Super Region),(Start Date),(Term in Days),(Amount $)
006f200001zrINSAA2,OPENSHIFT,Government,B,LATAM,12/31/2020,1095.0,74016.594125
006f200001zrINSAA2,OPENSHIFT,Government,B,LATAM,12/31/2020,1095.0,9121.880375
006f200001zrINSAA2,RHEL,Government,B,LATAM,12/31/2020,1095.0,713.9197999999999
006f200001zrINSAA2,OPENSHIFT,Government,B,LATAM,12/31/2020,1095.0,63428.50925
006f200001zrINSAA2,OPENSHIFT,Government,B,LATAM,12/31/2020,1095.0,22533.45455
006f200001zrINSAA2,RHEL,Government,B,LATAM,12/31/2020,1095.0,713.9197999999999
0063a00000h60TXAAY,RHEL,Information Technology,P,,12/30/2020,365.0,41897.4375
0063a00000hBbNmAAK,RHEL,Services,B,,11/30/2020,365.0,20762.89725
0063a00000hBiafAAC,RHEL,Financial Services,B,,10/30/2020,365.0,15537.34375
0063a00000hDZcAAAW,TRAINING,Financial Services,C,EMEA,9/29/2020,365.0,7646.472025
0063a00000hDZcAAAW,TRAINING,Financial Services,C,EMEA,9/29/2020,365.0,48717.6111
0063a00000hDloZAAS,RHEL,Financial Services,B,APAC,8/26/2021,365.0,1358.062725
0063a00000hDlpMAAS,RHEL,Financial Services,B,APAC,8/26/2021,365.0,720.2903749999997
0063a00000hj30bAAA,ANSIBLE,Services,P,,12/30/2020,365.0,36693.75
006f200001zaab2AAA,RHEL,Financial Services,C,APAC,8/18/2020,365.0,1326.104725
0063a00000iEqHTAA0,RHEL,Financial Services,C,APAC,9/30/2020,365.0,-10792.831425
0063a00000iEqHTAA0,RHEL,Financial Services,C,APAC,9/30/2020,365.0,-5137.96845
0063a00000iEqHTAA0,RHEL,Financial Services,C,APAC,9/30/2020,365.0,-2089.490625
0063a00000iEqHTAA0,RHEL,Financial Services,C,APAC,9/30/2020,365.0,-67245.39795
0063a00000iEWAgAAO,RHEL,Retail,C,LATAM,9/30/2020,30.0,1031.586525
0063a00000iEWF7AAO,RHEL,,C,LATAM,9/30/2020,30.0,1737.8793500000006
0063a00000iEWF7AAO,RHEL,,C,LATAM,9/30/2020,30.0,4992.128849999999
0063a00000iEWF7AAO,CLOUD INFRASTRUCTURE,,C,LATAM,9/30/2020,30.0,2869.465875
0063a00000iEWF7AAO,CLOUD INFRASTRUCTURE,,C,LATAM,9/30/2020,30.0,353.1308
0063a00000iEWF7AAO,STORAGE,,C,LATAM,9/30/2020,30.0,69.90302500000001
0063a00000h5ZnuAAE,RHEL,Healthcare,C,EMEA,9/29/2020,365.0,781.4941499999999
0063a00000hDnP8AAK,MIDDLEWARE,Education,B,,12/16/2020,365.0,210150.0
0063a00000himVGAAY,CONSULTING,Health Care,C,,9/29/2020,,7166.24
0063a00000himVGAAY,CONSULTING,Health Care,C,,9/29/2020,,43800.2
0063a00000iEfPSAA0,STORAGE,Telecom,C,EMEA,9/29/2020,365.0,37081.82945000001
0063a00000iEfPSAA0,STORAGE,Telecom,C,APAC,9/29/2020,365.0,37081.82945000001
0063a00000iEfhGAAS,CONSULTING,Education,C,EMEA,9/29/2020,,11836.628375000002
0063a00000iEfhGAAS,CONSULTING,Education,C,EMEA,9/29/2020,,1226.29905
0063a00000iEjoOAAS,RHEL,Financial Services,C,LATAM,9/29/2020,365.0,22354.2795
0063a00000gOiEUAA0,RHEL,Retail,C,,9/29/2020,365.0,67038.33355000001
0063a00000gOiEUAA0,RHEL,Retail,C,,9/29/2020,365.0,413273.70240000007
0063a00000iEpNDAA0,RHEL,Public,C,EMEA,9/29/2020,365.0,22658.9738
0063a00000iEpNDAA0,RHEL,Public,C,EMEA,9/29/2020,365.0,22658.9738
0063a00000iEqIqAAK,RHEL,Financial Services,B,LATAM,9/28/2021,365.0,22354.2795
0063a00000iEqIuAAK,STORAGE,Telecom,P,EMEA,3/31/2021,365.0,150692.960975
0063a00000iEqIuAAK,STORAGE,Telecom,P,APAC,3/31/2021,365.0,150692.960975
0066000001qotXUAAY,RHEL,Product Distributor,C,EMEA,9/29/2020,1095.0,22889.51292500001
0066000001qotXUAAY,RHEL,Product Distributor,C,EMEA,9/29/2020,1095.0,44126.949525
0066000001qotXUAAY,RHEL,Product Distributor,C,EMEA,9/29/2020,1095.0,21579.886699999995
006f200001tbENMAA2,RHEL,Manufacturing,C,EMEA,9/29/2020,1095.0,9040.135175
006f200001tbENMAA2,RHEL,Manufacturing,C,EMEA,9/29/2020,1095.0,19686.312125000004
006f200001tbENMAA2,MIDDLEWARE,Manufacturing,C,EMEA,9/29/2020,1095.0,19695.50005
006f200001tbENMAA2,RHEL,Manufacturing,C,EMEA,9/29/2020,1095.0,5520.94965
006f200001tbENMAA2,RHEL,Manufacturing,C,EMEA,9/29/2020,1095.0,8148.128525000003
006f200001tbENMAA2,RHEL,Manufacturing,C,EMEA,9/29/2020,1095.0,13972.726325
006f200001tnnSgAAI,RHEL,Enterprise,C,EMEA,9/29/2020,1095.0,5905.70715
006f200001zrXS3AAM,RHEL,,C,EMEA,9/29/2020,365.0,6575.6898
006f200001zrXS3AAM,RHEL,,C,EMEA,9/29/2020,365.0,3099.311175
0063a00000gPInwAAG,RHEL,Telecom,B,,10/20/2020,365.0,4183.738625
0063a00000h7eDJAAY,RHEL,Other,B,,12/29/2020,365.0,523.7066249999998
0063a00000hCE9LAAW,ANSIBLE,Services,B,,11/13/2020,365.0,43632.0
0063a00000ia4oBAAQ,RHEL,Manufacturing,P,APAC,8/31/2021,365.0,14057.351950000002
0063a00000gOezoAAC,RHEL,Media and Entertainment,C,EMEA,9/29/2020,365.0,874.3195250000001
0063a00000gOezoAAC,RHEL,Media and Entertainment,C,EMEA,9/29/2020,365.0,3528.389375
0063a00000gOezoAAC,RHEL,Media and Entertainment,C,EMEA,9/29/2020,365.0,13289.035374999998
0063a00000gOezoAAC,RHEL,Media and Entertainment,C,EMEA,9/29/2020,365.0,2127.9982250000007
0063a00000hDV8zAAG,RHEL,Healthcare,C,,9/29/2020,365.0,8598.673250000002
0063a00000hDV8zAAG,RHEL,Healthcare,C,,9/29/2020,365.0,10600.884000000002
0063a00000hDZhLAAW,RHEL,Government,C,,9/29/2020,365.0,17956.038725
0063a00000iEKSnAAO,OPENSHIFT,Financial Services,C,EMEA,9/29/2020,365.0,246266.9132
0063a00000iEKSnAAO,OPENSHIFT,Financial Services,C,,9/29/2020,365.0,246266.9132
0063a00000iEKSnAAO,OPENSHIFT,Financial Services,C,,9/29/2020,365.0,2217202.26085
0063a00000iEWgsAAG,RHEL,,C,,9/29/2020,1095.0,6411.23225
0063a00000ia7ThAAI,CONSULTING,Telecom,C,,9/29/2020,1.0,74504.41617499999
0063a00000ia7ThAAI,CONSULTING,Telecom,C,,9/29/2020,365.0,111806.634775
0063a00000hicvtAAA,RHEL,Telecom,B,,11/13/2020,365.0,5030.751775
0063a00000iEbdeAAC,OPENSHIFT,Telecom,P,,12/31/2020,365.0,605420.0
0063a00000iEqGaAAK,RHEL,Financial Services,C,APAC,9/30/2020,1095.0,-14730.267275
0063a00000iEqGaAAK,RHEL,Financial Services,C,APAC,9/30/2020,1095.0,-14730.267275
0063a00000iEqGaAAK,RHEL,Financial Services,C,APAC,9/30/2020,1095.0,-14730.267275
0063a00000h6viyAAA,RHEL,Government,B,LATAM,11/30/2020,365.0,6854.060800000001
0063a00000h6viyAAA,RHEL,Government,B,LATAM,11/30/2020,365.0,81162.76035
0063a00000iEIF9AAO,CONSULTING,Government,C,LATAM,9/29/2020,,3478.5811500000004
0063a00000iEKrJAAW,RHEL,Financial Services,P,,12/31/2020,365.0,380529.872
0063a00000iEqJjAAK,MIDDLEWARE,Media / Technology,P,,12/1/2020,365.0,385838.34810000006
0063a00000iEqLUAA0,TRAINING,Energy,P,,6/30/2021,365.0,14617.5
0063a00000iEivZAAS,OPENSHIFT,Financial Services,P,LATAM,1/29/2021,365.0,25729.2125
0063a00000iEivZAAS,OPENSHIFT,Financial Services,P,LATAM,1/29/2021,365.0,50738.45
0063a00000iEivZAAS,STORAGE,Financial Services,P,LATAM,1/29/2021,365.0,14659.55
0063a00000gNOSBAA4,RHEL,Financial Services,C,LATAM,9/29/2020,365.0,13586.370925
0063a00000gO1MqAAK,RHEL,Media and Entertainment,C,,9/29/2020,365.0,3537.430125
0063a00000gOVYyAAO,ANSIBLE,Manufacturing,C,,9/29/2020,365.0,81186.0981
0063a00000gOy70AAC,RHEL,Other,C,,9/28/2020,365.0,8519.95565
0063a00000hDuYbAAK,RHEL,Financial Services,C,EMEA,9/29/2020,365.0,117728.494225
0063a00000hDuYbAAK,RHEL,Financial Services,C,,9/29/2020,365.0,117728.494225
0063a00000hDuYbAAK,RHEL,Financial Services,C,,9/29/2020,365.0,667594.8146249999
006f200001yW07pAAC,CLOUD INFRASTRUCTURE,Manufacturing,C,,9/29/2020,365.0,35868.9813
006f200001zajDPAAY,RHEL,Manufacturing,C,EMEA,9/29/2020,365.0,1025.0057000000004
006f200001zajDPAAY,RHEL,Manufacturing,C,EMEA,9/29/2020,365.0,6285.565825
006f200001zajDPAAY,RHEL,Manufacturing,C,EMEA,9/29/2020,365.0,579.3387749999998
0063a00000gObTiAAK,RHEL,Education,C,,9/29/2020,365.0,231874.901225
0063a00000gObTiAAK,MIDDLEWARE,Education,C,,9/29/2020,365.0,11448.843275
0063a00000gObTiAAK,RHEL,Education,C,,9/29/2020,365.0,14862.167925000002
0063a00000gOcyIAAS,CONSULTING,Government,B,LATAM,3/31/2021,,113435.0
0063a00000iEqJ9AAK,ANSIBLE,Telecom,P,,3/30/2021,365.0,220662.5
0066000001qoUUpAAM,RHEL,Non Profit Organization,C,LATAM,1/18/2017,1095.0,7339.380875
0066000001qoUUpAAM,RHEL,Non Profit Organization,C,LATAM,1/18/2017,1095.0,2043.477725
0063a00000iEqOYAA0,RHEL,Financial Services,B,LATAM,8/22/2021,365.0,13586.370925
0063a00000iZyGYAA0,CONSULTING,Government,B,LATAM,11/30/2020,,13776.5
0063a00000iZyGYAA0,CONSULTING,Government,B,LATAM,11/30/2020,,60452.0
0063a00000iEmQxAAK,OPENSHIFT,Insurance,P,,4/29/2021,365.0,834844.8
0063a00000iEmQxAAK,CONSULTING,Insurance,P,,4/29/2021,,105025.0
0063a00000h7KxoAAE,RHEL,,C,EMEA,9/29/2020,365.0,266.024225
0063a00000h7KxoAAE,RHEL,,C,EMEA,9/29/2020,365.0,15635.908949999995
0063a00000h7KxoAAE,RHEL,,C,EMEA,9/29/2020,365.0,1025.0057000000004
0063a00000h7KxoAAE,RHEL,,C,EMEA,9/29/2020,365.0,532.032525
0063a00000h7KxoAAE,RHEL,,C,EMEA,9/29/2020,365.0,1870.0635250000007
0063a00000hCOzeAAG,STORAGE,Financial Services,C,,9/29/2020,365.0,104317.6349
0063a00000hCOzeAAG,STORAGE,Financial Services,C,,9/29/2020,365.0,939658.75615
0063a00000hCOzeAAG,STORAGE,Financial Services,C,EMEA,9/29/2020,365.0,104317.6349
0063a00000hD65vAAC,OPENSHIFT,Retail,C,,9/29/2020,365.0,30219.9002
0063a00000hD65vAAC,OPENSHIFT,Retail,C,,9/29/2020,365.0,11170.240999999998
0063a00000hDoY8AAK,RHEL,Services,C,EMEA,9/29/2020,1095.0,130660.06765
0063a00000hDoY8AAK,RHEL,Services,C,EMEA,9/29/2020,1095.0,20760.563475000006
0063a00000hj1P2AAI,RHEL,Services,C,,9/29/2020,30.0,12204.292550000002
0063a00000hj1P2AAI,RHEL,Services,C,,9/29/2020,30.0,517.6724499999998
0063a00000iEoBlAAK,MIDDLEWARE,Energy,C,,9/29/2020,365.0,42791.0
0063a00000iEoBlAAK,MIDDLEWARE,Energy,C,,9/29/2020,365.0,14197.0
0063a00000iEpZYAA0,RHEL,Financial Services,C,,9/29/2020,365.0,1031.145
0063a00000iEqMXAA0,TRAINING,Media/Technology,C,EMEA,9/14/2020,,612.0326500000001
0063a00000iEqMYAA0,TRAINING,Information Technology,C,EMEA,9/14/2020,,1048.4696
0063a00000iEqMZAA0,TRAINING,,C,EMEA,9/14/2020,3.0,709.946075
0063a00000iEqMaAAK,TRAINING,Financial Services,C,EMEA,9/15/2020,,612.0326500000001
0063a00000iEqMbAAK,TRAINING,Financial Services,C,EMEA,9/15/2020,,612.0326500000001
0063a00000iEqMcAAK,TRAINING,Financial Services,C,EMEA,9/15/2020,3.0,566.78685
0063a00000iEqMdAAK,TRAINING,Manufacturing,C,EMEA,9/15/2020,,703.9119000000003
0063a00000iEqMeAAK,TRAINING,,C,EMEA,9/15/2020,365.0,563.42285
0063a00000iEqMfAAK,TRAINING,Media/Technology,C,EMEA,9/16/2020,,761.3521999999997
0063a00000iEqMfAAK,TRAINING,Media/Technology,C,EMEA,9/16/2020,,761.3521999999997
0063a00000iEqMfAAK,TRAINING,Media/Technology,C,EMEA,9/16/2020,,761.3521999999997
0063a00000iEqMfAAK,TRAINING,Media/Technology,C,EMEA,9/16/2020,,761.3521999999997
0063a00000iEqMgAAK,TRAINING,Financial Services,C,EMEA,9/17/2020,,566.78685
0066000001szZwRAAU,RHEL,Non Profit Organization,C,LATAM,5/30/2018,1095.0,16991.51685
0066000001szZwRAAU,RHEL,Non Profit Organization,C,LATAM,5/30/2018,1095.0,5135.3932
0063a00000h7GTdAAM,OPENSHIFT,Non Profit Organization,C,LATAM,12/23/2019,1095.0,33191.132175
0063a00000h7GW3AAM,STORAGE,Non Profit Organization,B,LATAM,12/31/2020,1095.0,4159.349625
0063a00000h7GW3AAM,OPENSHIFT,Non Profit Organization,B,LATAM,12/31/2020,1095.0,134982.4292
0063a00000hDM8KAAW,OPENSHIFT,Non Profit Organization,C,LATAM,9/28/2020,1095.0,33649.687425
0063a00000iEoBRAA0,OPENSHIFT,Non Profit Organization,B,LATAM,9/25/2023,1095.0,33374.554275
0063a00000iEqMqAAK,TRAINING,Media/Technology,C,EMEA,9/17/2020,3.0,850.7084499999999
0063a00000iEqMqAAK,TRAINING,Media/Technology,C,EMEA,9/17/2020,,850.7084499999999
0063a00000iEqMqAAK,TRAINING,Media/Technology,C,EMEA,9/17/2020,,850.7084499999999
0063a00000iEqMrAAK,TRAINING,Media/Technology,C,EMEA,9/18/2020,1.0,238.5025
0063a00000iEqMrAAK,TRAINING,Media/Technology,C,EMEA,9/18/2020,1.0,238.5025
0063a00000iEqMrAAK,TRAINING,Media/Technology,C,EMEA,9/18/2020,1.0,238.5025
0063a00000iEqMsAAK,TRAINING,,C,EMEA,9/18/2020,,709.946075
0063a00000iEqMtAAK,TRAINING,Public,C,EMEA,9/21/2020,,703.9119000000003
0063a00000iEqMvAAK,TRAINING,Services,C,EMEA,9/22/2020,,612.0326500000001
0063a00000iEqMwAAK,TRAINING,Services,C,EMEA,9/22/2020,,612.0746999999999
0063a00000iEqMwAAK,TRAINING,Services,C,EMEA,9/22/2020,,612.0746999999999
0063a00000iEqMxAAK,TRAINING,,C,EMEA,9/22/2020,,709.946075
0063a00000iEqMyAAK,TRAINING,Media/Technology,C,EMEA,9/22/2020,,669.3678249999998
0063a00000iEqMzAAK,TRAINING,Public,C,EMEA,9/23/2020,,703.9119000000003
0063a00000iEqN0AAK,TRAINING,Information Technology,C,EMEA,9/25/2020,,761.3521999999997
0063a00000iEqN1AAK,TRAINING,Information Technology,C,EMEA,9/25/2020,,761.3521999999997
0063a00000iEqN1AAK,TRAINING,Information Technology,C,EMEA,9/25/2020,,761.3521999999997
0063a00000iEqN2AAK,TRAINING,Education,C,EMEA,9/25/2020,,761.3521999999997
0063a00000iEqPFAA0,TRAINING,Education,C,EMEA,9/21/2020,4.0,453.92464999999993
